lat,lon,stopId,tag,title
37.7931299,-122.39643,16992,6992,Embarcadero Station Inbound
37.7904799,-122.38969,14509,4509,The Embarcadero & Folsom St
37.7931299,-122.39632,17903,7903,Embarcadero Station Right Outbound For Loop Jobs
37.7694699,-122.4294099,14447,4447,Duboce Ave & Church St
37.7694099,-122.4294,14448,4448,Duboce Ave & Church St
37.79323,-122.39654,137217,37217,Embarcadero Station Outbound
37.7941399,-122.39423,16497,6497,Steuart St & Mission St
37.79347,-122.3961799,15669,5669,Market St & Drumm St
37.78935,-122.4013099,15639,5639,Market St & 2nd St
37.7840799,-122.40799,15655,5655,Market St & 5th St North
37.77911,-122.4143799,15676,5676,Market St & Hyde St
37.7751999,-122.41925,15696,5696,Market St & Van Ness Ave
37.7673999,-122.42931,15661,5661,Market St & Church St
37.7646199,-122.4287199,13984,3984,Church St & 16th St
37.7614699,-122.4284199,13987,3987,Church St & 18th St
37.75821,-122.42818,17970,7970,Church St & 20th St
37.7574199,-122.4281199,17971,7971,Church St & Liberty St
37.75632,-122.428,17972,7972,Church St & 21st St
37.7546099,-122.4277499,16218,6218,Church St & 22nd St
37.7517999,-122.4275,13995,3995,Church St & 24th St
37.74939,-122.42729,14002,4002,Church St & Clipper St
37.7469899,-122.4270699,13997,3997,Church St & 27th St
37.7428099,-122.4266499,14004,4004,Church St & Day St
37.7421699,-122.42446,13538,3538,30th St & Dolores St
37.7389899,-122.42404,15578,5578,Mission St & Appleton Ave
37.7334499,-122.43422,14387,4387,Diamond St & Bosworth St
37.7289999,-122.44002,16285,6285,San Jose Ave & Santa Rosa Ave
37.72588,-122.4423599,16287,6287,San Jose Ave & Santa Ynez Ave
37.72309,-122.4446999,16274,6274,San Jose Ave & Ocean Ave
37.7206499,-122.4467399,16263,6263,San Jose Ave & Geneva Ave
37.72073,-122.44669,14898,4898,Geneva Ave & San Jose Ave
37.7208299,-122.44647,16260,6260,San Jose Ave & Geneva Ave
37.72286,-122.4447899,16275,6275,San Jose Ave & Ocean Ave
37.7256799,-122.44244,16288,6288,San Jose Ave & Santa Ynez Ave
37.7289899,-122.43992,16284,6284,San Jose Ave & Santa Rosa Ave
37.7335099,-122.43415,14386,4386,Diamond St & Bosworth St
37.73887,-122.42387,15577,5577,Mission St & Appleton Ave
37.7422999,-122.42403,13537,3537,30th St & Dolores St
37.7422199,-122.42646,14000,4000,Church St & 30th St
37.74359,-122.42658,13999,3999,Church St & 29th St
37.74678,-122.42689,13998,3998,Church St & 27th St
37.74918,-122.42712,14003,4003,Church St & Clipper St
37.7515899,-122.42735,13996,3996,Church St & 24th St
37.75474,-122.42764,13994,3994,Church St & 22nd St
37.75634,-122.4278,17965,7965,Church St & 21th St
37.7571499,-122.4278799,17966,7966,Church St & Liberty St
37.7579399,-122.4279599,17967,7967,Church St & 20th St
37.76146,-122.42829,17968,7968,Church St & 18th St
37.7643799,-122.4286099,13985,3985,Church St & 16th St
37.7674399,-122.42886,17969,7969,Church St & Market St
37.7750599,-122.41932,15692,5692,Market St & South Van Ness Ave
37.7803599,-122.41261,15650,5650,Market St & 7th St
37.7838899,-122.40814,15645,5645,Market St & 5th St
37.78753,-122.4035199,15640,5640,Market St & 3rd St
37.7925699,-122.39702,15658,5658,Market St & Beale St
37.7941399,-122.39423,136497,36497,Steuart St & Mission St
37.7554099,-122.388,17354,7354,3rd St & 23rd St
37.7605199,-122.38856,17355,7355,3rd St & 20th St
37.7643899,-122.3888499,17356,7356,UCSF Medical Center (Mariposa) OB
37.7685,-122.38918,17357,7357,UCSF / Chase Center (16th Street)
37.7729799,-122.3896799,17358,7358,3rd St & Mission Rock St
37.7762799,-122.39386,17166,7166,4th Street & King Street
37.7796199,-122.38982,15237,5237,King St & 2nd St
37.78463,-122.3879799,17145,7145,The Embarcadero & Brannan St
37.7907499,-122.38984,14510,4510,Embarcadero Folsom St
37.7932299,-122.39654,17217,7217,Embarcadero Station Outbound
37.78879,-122.4021299,16994,6994,Montgomery Station Outbound
37.7843,-122.4078199,16995,6995,Powell Station Outbound
37.7786799,-122.41499,16997,6997,Civic Center Station Outbound
37.7752299,-122.41934,16996,6996,Van Ness Station OB
37.7673299,-122.42932,16998,6998,Church St Station Outbound
37.7626799,-122.43529,16991,6991,Castro Station Outbound
37.7481699,-122.45919,16993,6993,Forest Hill Station Outbound
37.7409499,-122.4658,16739,6739,West Portal Station
37.7380599,-122.46898,17125,7125,West Portal Ave & 14th Ave
37.7348099,-122.47162,16503,6503,Saint Francis Circle
37.7312699,-122.4718199,17114,7114,Junipero Serra Blvd & Ocean Ave
37.7299499,-122.4694699,15807,5807,Ocean Ave & San Leandro Way
37.7283799,-122.4678699,15780,5780,Ocean Ave & Aptos Ave
37.72725,-122.46676,15786,5786,Ocean Ave & Cerritos Ave
37.7260299,-122.4643399,15808,5808,Ocean Ave & Victoria St
37.72496,-122.46139,15793,5793,Ocean Ave & Jules Ave
37.72426,-122.45831,15798,5798,Ocean Ave & Miramar Ave
37.7234,-122.45442,15795,5795,Ocean Ave & Lee St
37.72295,-122.45087,15785,5785,City College Pedestrian Bridge
37.7218099,-122.44742,135418,35418,Metro Terminal
37.7089399,-122.40504,17398,7398,Bayshore Blvd & Sunnydale Ave.
37.7122299,-122.40234,17399,7399,Bayshore Blvd & Arleta Ave/Blanken Ave
37.71881,-122.39747,17400,7400,3rd St & Le Conte Ave
37.7224499,-122.39561,17347,7347,3rd St & Gilman Ave
37.72549,-122.3942199,17343,7343,3rd St & Carroll Ave
37.72929,-122.3925999,17345,7345,3rd St & Van Dyke Ave
37.7322599,-122.3915,17401,7401,3rd St & Revere/Shafter
37.7343599,-122.39084,17402,7402,3rd St & Oakdale/Palou
37.7376399,-122.38969,17403,7403,3rd St & Kirkwood/La Salle
37.73992,-122.3888799,17404,7404,3rd St & Hudson/Innes Ave
37.7427299,-122.38792,17352,7352,3rd St & Evans Ave
37.7489999,-122.38744,17353,7353,3rd St & Marin St
37.7408899,-122.46585,17058,7058,West Portal Ave & Ulloa St
37.7904799,-122.38969,14509,4509,The Embarcadero & Folsom St
37.7761399,-122.39383,17397,7397,4th Street & King Street
37.7603699,-122.38859,17362,7362,3rd St & 20th St
37.7490999,-122.38752,17364,7364,3rd St & Marin St
37.74273,-122.3880299,17365,7365,3rd St & Evans Ave
37.7399299,-122.38893,17390,7390,3rd St & Hudson/Innes Ave
37.73765,-122.3897299,17391,7391,3rd St & Kirkwood/La Salle
37.7343499,-122.39089,17392,7392,3rd St & Oakdale/Palou
37.7322899,-122.3916,17393,7393,3rd St & Revere/Shafter
37.7292099,-122.39268,17346,7346,3rd St & Williams Ave
37.7252399,-122.39439,17344,7344,3rd St & Carrol Ave
37.7221999,-122.39578,17342,7342,3rd St & Paul Ave
37.71864,-122.3976999,17394,7394,3rd St & Le Conte Ave
37.71225,-122.4023199,17395,7395,Bayshore Blvd & Arleta Ave/Blanken Ave
37.7089699,-122.40511,17396,7396,Bayshore Blvd & Sunnydale Ave
37.7694099,-122.4294,14448,4448,Duboce Ave & Church St
37.7751299,-122.41925,15419,5419,Van Ness Station Inbound
37.7931299,-122.39643,16992,6992,Embarcadero Station Inbound
37.7212399,-122.44622,17778,7778,San Jose & Geneva
37.7230399,-122.45145,15784,5784,City College Pedestrian Bridge
37.7234599,-122.4539999,15794,5794,Ocean Ave & Lee St
37.72439,-122.45808,15797,5797,Ocean Ave & Miramar Ave
37.7249599,-122.4610599,15787,5787,Ocean Ave & Dorado Ter
37.7260099,-122.4640699,15788,5788,Ocean Ave & Fairfield Way
37.7271999,-122.4664799,15809,5809,Ocean Ave & Westgate Dr
37.7282899,-122.4675599,15779,5779,Ocean Ave & Aptos Ave
37.7299899,-122.4690999,15806,5806,Ocean Ave & San Leandro Way
37.73163,-122.4717099,17113,7113,Ocean Ave & Junipero Serra Blvd
37.7348299,-122.47145,17109,7109,Saint Francis Circle
37.73786,-122.4690399,16898,6898,West Portal Ave & 14th Ave
37.7412499,-122.46546,16740,6740,West Portal Station
37.74835,-122.4586199,15730,5730,Forest Hill Station Inbound
37.7626199,-122.43523,15728,5728,Castro Station Inbound
37.76719,-122.4291699,15726,5726,Church St Station Inbound
37.7785399,-122.41481,15727,5727,Civic Center Station Inbound
37.7841999,-122.40769,15417,5417,Powell Station Inbound
37.7886999,-122.40192,15731,5731,Montgomery Station Inbound
37.7843599,-122.38814,14506,4506,The Embarcadero & Brannan St
37.7797199,-122.38987,15234,5234,King St & 2nd St
37.77283,-122.3897199,17359,7359,3rd St & Mission Rock St
37.7682399,-122.3893699,17360,7360,UCSF / Chase Center (16th Street)
37.76424,-122.38886,17361,7361,UCSF Medical Center (Mariposa) IB
37.7552599,-122.3880499,17363,7363,3rd St & 23rd St
37.7218099,-122.44742,15418,5418,Metro Terminal
37.7408899,-122.46585,137058,37058,West Portal Ave & Ulloa St
37.7408899,-122.46585,117058,17058,West Portal Ave & Ulloa St
37.76262,-122.4352299,135728,35728,Castro Station Inbound
37.7762699,-122.39408,15240,5240,King St & 4th St
37.7931299,-122.39632,17903,7903,Embarcadero Station Right Outbound For Loop Jobs
37.77627,-122.3941699,15239,5239,King St & 4th St
37.79323,-122.39654,137217,37217,Embarcadero Station Outbound
37.7408799,-122.46572,17582,7582,Ulloa & West Portal
37.7380599,-122.46898,17125,7125,West Portal Ave & 14th Ave
37.7348099,-122.47162,16503,6503,Saint Francis Circle
37.73095,-122.47169,15792,5792,Ocean Ave & Junipero Serra Blvd
37.7299499,-122.4694699,15807,5807,Ocean Ave & San Leandro Way
37.7283799,-122.4678699,15780,5780,Ocean Ave & Aptos Ave
37.72725,-122.46676,15786,5786,Ocean Ave & Cerritos Ave
37.7260299,-122.4643399,15808,5808,Ocean Ave & Victoria St
37.72496,-122.46139,15793,5793,Ocean Ave & Jules Ave
37.72426,-122.45831,15798,5798,Ocean Ave & Miramar Ave
37.7234,-122.45442,15795,5795,Ocean Ave & Lee St
37.72295,-122.45087,15785,5785,City College Pedestrian Bridge
37.72293,-122.44489,16276,6276,San Jose Ave & Ocean Ave
37.72065,-122.4467399,16263,6263,San Jose Ave & Geneva Ave
37.7207299,-122.44669,14898,4898,Geneva Ave & San Jose Ave
37.7106199,-122.40389,13793,3793,Bayshore Blvd & Visitacion Ave
37.7122299,-122.40218,17334,7334,Bayshore Blvd & Blanken Ave
37.7149699,-122.39898,13780,3780,Bayshore Blvd & Hester Ave
37.71877,-122.39746,17376,7376,Third Street & Le Conte Ave.
37.7231299,-122.39524,17320,7320,3rd St & Fitzgerald Ave
37.7252999,-122.3942,13116,3116,3rd St & Carroll Ave
37.72924,-122.3925899,13149,3149,3rd St & Van Dyke Ave
37.7322499,-122.39146,13145,3145,3rd St & Revere Ave
37.73409,-122.3909299,13141,3141,3rd St & Palou Ave
37.7372099,-122.3898,13134,3134,3rd St & La Salle Ave
37.7401199,-122.3887,13127,3127,3rd St & Hudson Ave
37.7427899,-122.3878,17961,7961,3rd Street & Evans Ave
37.7489499,-122.3874199,17377,7377,Third Street & Marin St.
37.75569,-122.3879,13107,3107,3rd St & 23rd St
37.7607899,-122.38846,13103,3103,3rd St & 20th St
37.7644299,-122.3887599,17381,7381,Third Street & Mariposa St.
37.7690499,-122.3892299,17321,7321,3rd St & Warriors Way
37.77297,-122.38969,13153,3153,Third Street & Mission Rock St.
37.7762499,-122.39393,17405,7405,4th Street & King Street
37.7795999,-122.38955,15235,5235,King St & 2nd St
37.78455,-122.3879499,17447,7447,The Embarcadero & Brannan St
37.7934699,-122.39618,15669,5669,Market St & Drumm St
37.7893499,-122.40131,15639,5639,Market St & 2nd St
37.78408,-122.4079899,15655,5655,Market St & 5th St North
37.7791099,-122.41438,15676,5676,Market St & Hyde St
37.7751999,-122.41925,15696,5696,Market St & Van Ness Ave
37.7673999,-122.42931,15661,5661,Market St & Church St
37.7630199,-122.43498,15667,5667,Market St & Castro St
37.7482099,-122.4588999,15247,5247,Forest Hill Station
37.7208299,-122.44647,136260,36260,San Jose Ave & Geneva Ave
37.7208299,-122.44647,16260,6260,San Jose Ave & Geneva Ave
37.723,-122.44495,15804,5804,Ocean Ave & San Jose Ave
37.7230399,-122.45145,15784,5784,City College Pedestrian Bridge
37.7234599,-122.4539999,15794,5794,Ocean Ave & Lee St
37.72439,-122.45808,15797,5797,Ocean Ave & Miramar Ave
37.7249599,-122.4610599,15787,5787,Ocean Ave & Dorado Ter
37.72601,-122.46407,15788,5788,Ocean Ave & Fairfield Way
37.7272,-122.46648,15809,5809,Ocean Ave & Westgate Dr
37.7282899,-122.4675599,15779,5779,Ocean Ave & Aptos Ave
37.72999,-122.4691,15806,5806,Ocean Ave & San Leandro Way
37.7313599,-122.47167,15138,5138,Ocean Ave & Junipero Serra Blvd
37.73504,-122.4713399,17205,7205,West Portal Ave & Sloat Blvd
37.7378599,-122.46904,16898,6898,West Portal Ave & 14th Ave
37.7408899,-122.46585,17058,7058,West Portal Ave & Ulloa St
37.7482099,-122.4588999,115247,15247,Forest Hill Station
37.7624599,-122.43545,15665,5665,Market St & Castro St
37.76759,-122.4287999,15662,5662,Market St & Church St
37.7750599,-122.41932,15692,5692,Market St & South Van Ness Ave
37.7803599,-122.41261,15650,5650,Market St & 7th St
37.7838899,-122.40814,15645,5645,Market St & 5th St
37.78753,-122.4035199,15640,5640,Market St & 3rd St
37.7925699,-122.39702,15658,5658,Market St & Beale St
